com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
14076,100.0,12.0,100.0,aout,mercredi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière gauche
14100,0.0,45.0,100.0,septembre,lundi,0.0,0.0,0.0,66.66666666666666,33.33333333333333,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
14105,100.0,15.0,100.0,octobre,mardi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
14118,43.269230769230774,36.00961538461539,77.88461538461539,septembre,mercredi,8.653846153846153,19.230769230769234,10.576923076923077,99.03846153846155,75.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1412,100.0,46.5,100.0,aout,samedi,0.0,0.0,0.0,0.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
14127,100.0,52.0,100.0,janvier,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,"""En """"S""""""",Sur chaussée,Promenade - loisirs,Avant
14150,100.0,3.0,100.0,novembre,dimanche,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur accotement,Promenade - loisirs,Aucun
14164,100.0,74.0,100.0,mai,jeudi,0.0,0.0,0.0,0.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
14198,50.0,55.0,100.0,mai,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant
1427,25.0,27.5,100.0,juin,dimanche,0.0,0.0,0.0,100.0,50.0,Autre intersection,Autre intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
14300,0.0,14.0,100.0,septembre,mercredi,100.0,0.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,A sens unique,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
14317,100.0,9.0,100.0,aout,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1436,100.0,47.5,100.0,septembre,samedi,0.0,0.0,0.0,0.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Arrière
14384,66.66666666666666,34.333333333333336,100.0,juin,lundi,0.0,33.33333333333333,0.0,83.33333333333334,50.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
14409,100.0,62.0,100.0,mai,samedi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
14460,100.0,69.0,100.0,septembre,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
